Marca	Modelo 	Tipo	Transmisión	combustible	Color	Precio(€/dia) Disponible(bool)
volkswagen	Golf 	Turismo	Manual	Gasolina	Rojo	48.6 0
Audi	A1	Turismo	Automático	Diésel	Negro	54.5 1
Bmw	M2 	Deport	Manual	Gasolina	Blanco	80.4 1
Volvo	CXC_60	Family	Manual	Gasolina	Blanco	96.6 0
Dodge	Hellcat	Deport	Manual	Diésel	Negro	256.0 0
Fiat	Punto	Compact	Automático	Diésel	Negro	30.5 1
Honda	Type_R	Turismo	Manual	Diésel	Azul	70.8 1
Mercede Sedán	Family	Automático	Gasolina	Rojo	86.4 1
Peugeot	_2008 	suv	Manual	Diésel	Gris	35.7 0
Mercede	Berlina	Berlina	Automático	Diésel	Gris	60.5 0
volksw	Golf 	Turismo	Automático	Diésel	Negro	48.5 1
Volvo	XC40	suv	Automático	Diésel	Blanco	75.6 0
Mercede	Clace_V	Monovol	Automático	Gasolina	Blanco	65.4 0
Ford	Raptor	4X4	Manual	Diésel	Blanco	95.9 1
Honda	Type_R	Turismo	Manual	Diésel	Negro	70.9 1
Peugeot	_208	Compact	Automático	Diésel	Azul	40.5 1
Dodge	Challenger	Deportivo	Manual	Gasolina	Rojo	280.3 1
volksw	Polo	Compacto	Manual	Diésel	Rojo	34.3 1
Chevro	Blazer	SUV	Automático	Gasolina	Rojo	56.4 0
Land_R	Evoque	SUV	Automático	Diésel	Rojo	180.3 1
Audi	A4	Coupé	Automático	Gasolina	Blanco	86.4 1
Ford	GT500	Deportivo	Manual	Gasolina	Gris	272.5 1
Land_R	Discove	SUV	Automático	Diésel	Gris	210.0 1
Bmw	Serie_3	Coupé	Manual	Gasolina	Azul	84.4 0
Renault	Clio	Compacto	Manual	Gasolina	Amarillo	35.5 1
volksw	Touran	SUV	Automático	Gasolina	Azul	69.9 0
Renault	Clio	Compacto	Automático	Diésel	negro	38.9 0
Mercede	GLC_SUV	Familiar	Automático	Gasolina	blanco	120.3 1
Chevrol	ZL1	Deportivo	Manual	Gasolina	Amarillo	265.4 1
Ford	Fiesta	Compacto	Manual	Gasolina	Blanco	45.9 1
Audi	RS3	Turismo	Automático	Diésel	Blanco	84.5 1
Peugeot	SUV_2008	SUV	Manual	Gasolina	Blanco	49.2 1
